Data totals as of 2019-10-23: 

+-------------+---------+
| file format | total   |
+-------------+---------+
| Removed     |      21 |  (versions removed for legal reasons)
| docx        |     937 |  (for a brief period arXiv accepted docx)
| html        |    1580 |  (typically conference indexes, though some full text)
| ps          |    5746 |
| withdrawn   |   10189 |  (where the top-level version is withdrawn)
| pdf         |  164859 |
| pdftex      |  678193 |  (these should be counted together, as they...)
| tex         | 1629254 |  (...are both tex formats)
+-------------+---------+

File formats across subject areas 
(single-word categories contain a period in their name only for ease of providing data)
(NULL values in format column represent removed top-level versions)

+--------------------+-----------+------------+
| category           | format    | paper count|
| cs.OS              | pdftex    |        286 |
| cs.OS              | ps        |          5 |
| cs.OS              | tex       |        165 |
| cs.OS              | withdrawn |          4 |
| cs.PF              | docx      |          3 |
| cs.PF              | html      |         16 |
| cs.PF              | pdf       |        442 |
| cs.PF              | pdftex    |       1468 |
| cs.PF              | ps        |          1 |
| cs.PF              | tex       |        944 |
| cs.PF              | withdrawn |         16 |
| cs.PL              | docx      |          6 |
| cs.PL              | html      |        180 |
| cs.PL              | pdf       |        642 |
| cs.PL              | pdftex    |       2788 |
| cs.PL              | ps        |         14 |
| cs.PL              | tex       |       2911 |
| cs.PL              | withdrawn |         23 |
| cs.RO              | docx      |          2 |
| cs.RO              | html      |         21 |
| cs.RO              | pdf       |       1216 |
| cs.RO              | pdftex    |       8850 |
| cs.RO              | ps        |          2 |
| cs.RO              | tex       |       1009 |
| cs.RO              | withdrawn |         56 |
| cs.SC              | docx      |          4 |
| cs.SC              | html      |         13 |
| cs.SC              | pdf       |         46 |
| cs.SC              | pdftex    |        632 |
| cs.SC              | tex       |       1741 |
| cs.SC              | withdrawn |          6 |
| cs.SD              | html      |          6 |
| cs.SD              | pdf       |        535 |
| cs.SD              | pdftex    |       3093 |
| cs.SD              | ps        |          2 |
| cs.SD              | tex       |        611 |
| cs.SD              | withdrawn |         14 |
| cs.SE              | docx      |         30 |
| cs.SE              | html      |        117 |
| cs.SE              | pdf       |       2571 |
| cs.SE              | pdftex    |       3987 |
| cs.SE              | ps        |         17 |
| cs.SE              | tex       |       1417 |
| cs.SE              | withdrawn |         32 |
| cs.SI              | docx      |          2 |
| cs.SI              | html      |         10 |
| cs.SI              | pdf       |       1925 |
| cs.SI              | pdftex    |      10161 |
| cs.SI              | tex       |       4272 |
| cs.SI              | withdrawn |        101 |
| cs.SY              | docx      |          1 |
| cs.SY              | html      |         17 |
| cs.SY              | pdf       |       1518 |
| cs.SY              | pdftex    |       8090 |
| cs.SY              | ps        |          1 |
| cs.SY              | tex       |       4788 |
| cs.SY              | withdrawn |         95 |
| dg-ga.             | ps        |          4 |
| dg-ga.             | tex       |       1021 |
| dg-ga.             | withdrawn |          2 |
| econ.EM            | pdf       |        123 |
| econ.EM            | pdftex    |        935 |
| econ.EM            | tex       |        476 |
| econ.EM            | withdrawn |          4 |
| econ.GN            | html      |          1 |
| econ.GN            | pdf       |        200 |
| econ.GN            | pdftex    |        317 |
| econ.GN            | tex       |        108 |
| econ.GN            | withdrawn |          2 |
| econ.TH            | pdf       |         21 |
| econ.TH            | pdftex    |        243 |
| econ.TH            | tex       |        197 |
| eess.AS            | html      |          2 |
| eess.AS            | pdf       |        249 |
| eess.AS            | pdftex    |       2405 |
| eess.AS            | tex       |        379 |
| eess.AS            | withdrawn |          8 |
| eess.IV            | NULL      |          1 |
| eess.IV            | html      |          2 |
| eess.IV            | pdf       |        765 |
| eess.IV            | pdftex    |       2908 |
| eess.IV            | tex       |        185 |
| eess.IV            | withdrawn |         18 |
| eess.SP            | NULL      |          4 |
| eess.SP            | html      |          3 |
| eess.SP            | pdf       |       1373 |
| eess.SP            | pdftex    |       4127 |
| eess.SP            | tex       |       1665 |
| eess.SP            | withdrawn |         31 |
| eess.SY            | pdf       |        185 |
| eess.SY            | pdftex    |        963 |
| eess.SY            | tex       |        240 |
| eess.SY            | withdrawn |          2 |
